fileid	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok
2016-03-30	76	LatorcaiJanos	106	JakabIstvan	156	HillerIstvan	187	LezsakSandor												
2016-04-04	86	HillerIstvan	295	LezsakSandor																
2016-04-11	64	KoverLaszlo	222	LatorcaiJanos	291	HillerIstvan														
2016-04-12	60	LezsakSandor	96	LatorcaiJanos	138	SneiderTamas	185	HillerIstvan												
2016-04-13	56	LatorcaiJanos	98	HillerIstvan	133	SneiderTamas														
2016-04-18	84	LezsakSandor	223	JakabIstvan																
2016-04-25	64	LezsakSandor	228	JakabIstvan	282	LezsakSandor	309	HillerIstvan												
2016-04-26	55	LezsakSandor	117	SneiderTamas	193	JakabIstvan	259	SneiderTamas	296	HillerIstvan										
2016-04-27	36	LezsakSandor	100	HillerIstvan	128	JakabIstvan	135	SneiderTamas												
2016-05-02	81	HillerIstvan	201	LatorcaiJanos	253	LezsakSandor	306	JakabIstvan												
2016-05-09	64	LatorcaiJanos	172	JakabIstvan	256	LezsakSandor	350	HillerIstvan	377	SneiderTamas										
2016-05-10	34	LatorcaiJanos	48	JakabIstvan	63	HillerIstvan														
2016-05-11	16	HillerIstvan	42	LezsakSandor	58	LatorcaiJanos	86	HillerIstvan	112	LatorcaiJanos	150	HillerIstvan	174	LatorcaiJanos	209	HillerIstvan				
2016-05-12	34	JakabIstvan	66	SneiderTamas	86	LatorcaiJanos	106	SneiderTamas	126	LatorcaiJanos	150	SneiderTamas	165	LatorcaiJanos						
2016-05-13	16	LezsakSandor	52	SneiderTamas	54	LatorcaiJanos	90	LatorcaiJanos	116	JakabIstvan	137	LatorcaiJanos								
2016-05-17	80	HillerIstvan	188	LatorcaiJanos	236	JakabIstvan	285	HillerIstvan												
2016-05-18	30	JakabIstvan	63	LezsakSandor																
2016-05-23	62	JakabIstvan	182	LatorcaiJanos	288	SneiderTamas	342	LezsakSandor	369	HillerIstvan										
2016-05-24	50	JakabIstvan	84	LatorcaiJanos	126	LezsakSandor	158	SneiderTamas	202	HillerIstvan	245	SneiderTamas								
2016-05-25	40	LezsakSandor	62	JakabIstvan	92	HillerIstvan	122	LatorcaiJanos	155	JakabIstvan										
2016-05-30	82	HillerIstvan	189	LatorcaiJanos	215	LezsakSandor	293	LatorcaiJanos	360	LezsakSandor										
2016-06-06	68	KoverLaszlo	194	JakabIstvan	274	LatorcaiJanos	344	SneiderTamas	417	LezsakSandor										
2016-06-07	38	LatorcaiJanos	55	LezsakSandor	105	LatorcaiJanos	205	SneiderTamas	318	HillerIstvan										
2016-06-08	26	JakabIstvan	83	HillerIstvan																
2016-06-13	75	JakabIstvan	234	LezsakSandor																
2016-07-20	23	LatorcaiJanos																		
2016-08-22	23	LatorcaiJanos																		
2016-09-12	16	KoverLaszlo	92	LatorcaiJanos	218	JakabIstvan	267	SneiderTamas												
2016-09-13	60	LezsakSandor	78	LatorcaiJanos	98	SneiderTamas	109	JakabIstvan												
2016-09-14	36	SneiderTamas	66	LatorcaiJanos	85	JakabIstvan														
2016-09-19	82	HillerIstvan	213	LatorcaiJanos																
2016-09-26	66	KoverLaszlo	194	JakabIstvan	261	LatorcaiJanos														
2016-09-27	51	LezsakSandor	99	JakabIstvan	141	LezsakSandor	171	SneiderTamas	190	HillerIstvan										
2016-10-03	22	KoverLaszlo	124	HillerIstvan	245	LatorcaiJanos														
2016-10-10	12	LatorcaiJanos	68	KoverLaszlo	212	LatorcaiJanos	268	LezsakSandor	319	JakabIstvan										
2016-10-11	44	LatorcaiJanos	74	LezsakSandor	94	SneiderTamas	126	JakabIstvan	149	LezsakSandor										
