parlaid	frakciótagság	frakció neve	from	to
KovacsJozsef	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
KovacsJozsef	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
KovacsJozsef	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KovacsJozsef	member	parliamentaryGroup.Fidesz.9	2022-05-02	
KovacsSandor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
KovacsSandor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KovacsSandor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
KovacsZoltan	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
KovacsZoltan	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2015-11-01
KovacsZoltan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KovacsZoltan	member	parliamentaryGroup.Fidesz.9	2022-05-02	
KoverLaszlo	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2015-11-01
KoverLaszlo	member	parliamentaryGroup.Fidesz.7	2014-05-06	2015-11-01
KubatovGabor	deputyHead	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KubatovGabor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
KubatovGabor	deputyHead	parliamentaryGroup.Fidesz.9	2022-05-02	
KubatovGabor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
KucsakLaszlo	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
KulcsarGergely	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
KunhalmiAgnes	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
KunhalmiAgnes	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
KunhalmiAgnes	member	parliamentaryGroup.MSZP.9	2022-05-02	
LangZsolt	member	parliamentaryGroup.Fidesz.9	2022-05-02	
LaszloImre	member	parliamentaryGroup.DK.8	2018-05-08	2019-10-29
LaszloTamas	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
LatorcaiJanos	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
LatorcaiJanos	deputyHead	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
LatorcaiJanos	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
LatorcaiJanos	member	parliamentaryGroup.KDNP.9	2022-05-02	
LazarJanos	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
LazarJanos	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
LazarJanos	member	parliamentaryGroup.Fidesz.9	2022-05-02	
LegenyZsolt	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
LegenyZsolt	deputyHead	parliamentaryGroup.MSZP.7	2014-05-06	2014-09-04
LezsakSandor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
LezsakSandor	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
LezsakSandor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
LezsakSandor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
LocseiLajos	member	parliamentaryGroup.Momentum.9	2022-05-02	
LSimonLaszlo	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2015-11-01
LSimonLaszlo	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
LukacsLaszlo	head	parliamentaryGroup.JOBBIK.9	2022-05-02	
LukacsLaszloGyorgy	member	parliamentaryGroup.JOBBIK.7	2014-06-30	2018-05-07
LukacsLaszloGyorgy	deputyHead	parliamentaryGroup.JOBBIK.7	2015-10-12	2018-05-07
LukacsLaszloGyorgy	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
LukacsLaszloGyorgy	deputyHead	parliamentaryGroup.JOBBIK.8	2018-05-08	2018-09-16
LukacsLaszloGyorgy	deputyHead	parliamentaryGroup.JOBBIK.8	2019-06-25	2020-02-16
LukacsLaszloGyorgy	member	parliamentaryGroup.JOBBIK.9	2022-05-02	
LukacsLaszloGyorgy	deputyHead	parliamentaryGroup.JOBBIK.9	2022-05-02	2022-07-15
LukacsLaszloGyorgy	head	parliamentaryGroup.JOBBIK.9	2022-07-15	
LukacsZoltan	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
LukacsZoltan	deputyHead	parliamentaryGroup.MSZP.7	2014-05-06	2016-07-05
MagyarZoltan	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
MagyarZoltan	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
MagyarZoltan	deputyHead	parliamentaryGroup.JOBBIK.8	2020-06-05	2022-05-01
ManningerJeno	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
ManningerJeno	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
MatraiMarta	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
MatraiMarta	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2015-11-01
MatraiMarta	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
MatraiMarta	member	parliamentaryGroup.Fidesz.9	2022-05-02	
MellarTamas	member	parliamentaryGroup.Parbeszed.8	2018-05-20	2022-05-01
MellarTamas	member	parliamentaryGroup.Parbeszed.9	2022-05-02	
MenczerTamas	member	parliamentaryGroup.Fidesz.9	2022-05-02	
MengyiRoland	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
MengyiRoland	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
MesterhazyAttila	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
MesterhazyAttila	head	parliamentaryGroup.MSZP.7	2014-05-06	2014-06-02
MesterhazyAttila	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
MirkoczkiAdam	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
MirkoczkiAdam	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2019-10-25
MolnarAgnes	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
MolnarAgnes	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
MolnarAgnes	member	parliamentaryGroup.Fidesz.9	2022-05-02	
MolnarGyula	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
MolnarZsolt	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
MolnarZsolt	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
MolnarZsolt	member	parliamentaryGroup.MSZP.9	2022-05-02	
MoringJozsefAttila	deputyHead	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
MoringJozsefAttila	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
MoringJozsefAttila	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
MoringJozsefAttila	member	parliamentaryGroup.KDNP.9	2022-05-02	
NacsaLorinc	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
NacsaLorinc	member	parliamentaryGroup.KDNP.9	2022-05-02	
NacsaLorinc	deputyHead	parliamentaryGroup.KDNP.9	2022-05-02	
NagyCsaba	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
NagyCsaba	member	parliamentaryGroup.Fidesz.9	2022-05-02	
NavracsicsTibor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2014-10-30
NavracsicsTibor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
NemethSzilard	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
NemethSzilard	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2018-05-07
NemethSzilard	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
NemethSzilard	member	parliamentaryGroup.Fidesz.9	2022-05-02	
NemethSzilard	deputyHead	parliamentaryGroup.Fidesz.9	2022-05-02	
NemethZsolt	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
NemethZsolt	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2018-05-07
NemethZsolt	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
NemethZsolt	deputyHead	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
NemethZsolt	member	parliamentaryGroup.Fidesz.9	2022-05-02	
NemethZsolt	deputyHead	parliamentaryGroup.Fidesz.9	2022-05-02	
NovakElod	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2016-08-31
NovakElod	member	parliamentaryGroup.MiHazank.9	2022-05-02	
NovakElod	deputyHead	parliamentaryGroup.MiHazank.9	2022-05-02	
NunkovicsTibor	member	parliamentaryGroup.JOBBIK.8	2019-07-08	2022-05-01
NyitraiZsolt	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
NyitraiZsolt	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
NyitraiZsolt	member	parliamentaryGroup.Fidesz.9	2022-05-02	
OlahLajos	member	parliamentaryGroup.DK.8	2018-05-08	2022-05-01
OlahLajos	member	parliamentaryGroup.DK.9	2022-05-02	
OrbanBalazs	member	parliamentaryGroup.Fidesz.9	2022-05-02	
OrbanViktor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
OrbanViktor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
OrbanViktor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
OroszAnna	member	parliamentaryGroup.Momentum.9	2022-05-02	
OvadiPeter	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
OvadiPeter	member	parliamentaryGroup.Fidesz.9	2022-05-02	
PajtokGabor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
PanczelKaroly	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
PanczelKaroly	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
PanczelKaroly	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
PanczelKaroly	member	parliamentaryGroup.Fidesz.9	2022-05-02	
PapcsakFerenc	member	parliamentaryGroup.Fidesz.7	2014-05-06	2015-08-05
PapcsakFerenc	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-08-05
PestiImre	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
PestiImre	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
PestiImre	member	parliamentaryGroup.Fidesz.9	2022-05-02	
PetnehazyAttila	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
PinterTamas	member	parliamentaryGroup.JOBBIK.7	2016-09-12	2018-05-07
PinterTamas	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2019-10-28
PocsJanos	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
PocsJanos	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
PocsJanos	member	parliamentaryGroup.Fidesz.9	2022-05-02	
PogacsasTibor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
PogacsasTibor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
PogacsasTibor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
PosanLaszlo	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
PosanLaszlo	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
PosanLaszlo	member	parliamentaryGroup.Fidesz.9	2022-05-02	
PotocskaneKorosiAnita	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
RepassyRobert	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
RepassyRobert	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
RetvariBence	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
RetvariBence	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
RetvariBence	member	parliamentaryGroup.KDNP.9	2022-05-02	
ReveszMariusz	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
ReveszMariusz	member	parliamentaryGroup.Fidesz.9	2022-05-02	
RigLajos	member	parliamentaryGroup.JOBBIK.7	2015-05-11	2018-05-07
RigLajos	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
RizGabor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
RizGabor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
RizGabor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
RoganAntal	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
RoganAntal	head	parliamentaryGroup.Fidesz.7	2014-05-06	2015-09-30
RoganAntal	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
RoganAntal	member	parliamentaryGroup.Fidesz.9	2022-05-02	
RubovszkyGyorgy	member	parliamentaryGroup.KDNP.7	2014-05-06	2017-06-21
RubovszkyGyorgy	deputyHead	parliamentaryGroup.KDNP.7	2014-05-06	2017-06-21
SalaczLaszlo	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
SalaczLaszlo	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
SalaczLaszlo	member	parliamentaryGroup.Fidesz.9	2022-05-02	
SallaiRBenedek	member	parliamentaryGroup.LMP.7	2014-05-06	2018-05-07
SasZoltan	member	parliamentaryGroup.JOBBIK.9	2022-05-02	
SasZoltan	deputyHead	parliamentaryGroup.JOBBIK.9	2022-05-02	
SchifferAndras	member	parliamentaryGroup.LMP.7	2014-05-06	2016-09-05
SchifferAndras	head	parliamentaryGroup.LMP.7	2014-05-06	2016-09-05
SchmuckErzsebet	member	parliamentaryGroup.LMP.7	2014-05-06	2018-05-07
SchmuckErzsebet	deputyHead	parliamentaryGroup.LMP.7	2015-10-19	2016-09-05
SchmuckErzsebet	head	parliamentaryGroup.LMP.7	2016-09-06	2017-02-15
SchmuckErzsebet	deputyHead	parliamentaryGroup.LMP.7	2017-02-16	2018-05-07
SchmuckErzsebet	member	parliamentaryGroup.LMP.8	2018-05-08	2022-05-01
SchmuckErzsebet	deputyHead	parliamentaryGroup.LMP.8	2018-05-08	2022-05-01
SebianPetrovszkiLaszlo	member	parliamentaryGroup.DK.8	2019-12-02	2022-05-01
SebianPetrovszkiLaszlo	member	parliamentaryGroup.DK.9	2022-05-02	
SebokEva	member	parliamentaryGroup.Momentum.9	2022-05-02	
SelmecziGabriella	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
SelmecziGabriella	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
SelmecziGabriella	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
SelmecziGabriella	deputyHead	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
SelmecziGabriella	member	parliamentaryGroup.Fidesz.9	2022-05-02	
SelmecziGabriella	deputyHead	parliamentaryGroup.Fidesz.9	2022-05-02	
SemjenZsolt	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
SemjenZsolt	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
SemjenZsolt	member	parliamentaryGroup.KDNP.9	2022-05-02	
SesztakMiklos	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
SesztakMiklos	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
SesztakMiklos	member	parliamentaryGroup.KDNP.9	2022-05-02	
SimicskoIstvan	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
SimicskoIstvan	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
SimicskoIstvan	head	parliamentaryGroup.KDNP.8	2020-07-15	2022-05-01
SimicskoIstvan	member	parliamentaryGroup.KDNP.9	2022-05-02	
SimicskoIstvan	head	parliamentaryGroup.KDNP.9	2022-05-02	
SimonkaGyorgy	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2014-07-03
SimonMiklos	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
SimonMiklos	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
SimonMiklos	member	parliamentaryGroup.Fidesz.9	2022-05-02	
SimonRobertBalazs	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
SimonRobertBalazs	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
SneiderTamas	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
SneiderTamas	deputyHead	parliamentaryGroup.JOBBIK.7	2014-05-06	2015-10-11
SneiderTamas	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2020-05-27
StaudtGabor	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
StaudtGabor	deputyHead	parliamentaryGroup.JOBBIK.7	2015-10-12	2018-05-07
StaudtGabor	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2019-01-31
StaudtGabor	deputyHead	parliamentaryGroup.JOBBIK.8	2018-09-17	2019-01-31
SteinmetzAdam	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
StummerJanos	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
SzabadiIstvan	member	parliamentaryGroup.MiHazank.9	2022-05-02	
SzabolcsAttila	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
SzaboRebeka	member	parliamentaryGroup.Parbeszed.9	2022-05-02	
SzaboSandor	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
SzaboSandor	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
SzaboSandor	member	parliamentaryGroup.MSZP.9	2022-05-02	
SzaboSzabolcs	member	parliamentaryGroup.LMP.8	2018-05-08	2018-10-02
SzaboSzabolcs	member	parliamentaryGroup.Momentum.9	2022-05-02	
SzaboTimea	member	parliamentaryGroup.Parbeszed.8	2018-05-08	2022-05-01
SzaboTimea	head	parliamentaryGroup.Parbeszed.8	2018-05-08	2022-05-01
SzaboTimea	member	parliamentaryGroup.Parbeszed.9	2022-05-02	
SzaboTimea	deputyHead	parliamentaryGroup.Parbeszed.9	2022-05-02	
SzaboTunde	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
SzaboTunde	member	parliamentaryGroup.Fidesz.9	2022-05-02	
SzaboZsolt	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
SzaboZsolt	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
SzaboZsolt	member	parliamentaryGroup.Fidesz.9	2022-05-02	
SzakacsLaszlo	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
SzakacsLaszlo	deputyHead	parliamentaryGroup.MSZP.7	2016-07-06	2018-05-07
SzakacsLaszlo	member	parliamentaryGroup.MSZP.8	2019-12-02	2022-05-01
SzaszfalviLaszlo	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
SzaszfalviLaszlo	deputyHead	parliamentaryGroup.KDNP.7	2014-06-15	2018-05-07
SzaszfalviLaszlo	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
SzaszfalviLaszlo	deputyHead	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
SzaszfalviLaszlo	member	parliamentaryGroup.KDNP.9	2022-05-02	
SzaszfalviLaszlo	deputyHead	parliamentaryGroup.KDNP.9	2022-05-02	
SzatmaryKristof	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
SzatmaryKristof	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
SzatmaryKristof	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
SzatmaryKristof	member	parliamentaryGroup.Fidesz.9	2022-05-02	
SzavayIstan	deputyHead	parliamentaryGroup.JOBBIK.8	2018-05-08	2018-12-09
SzavayIstvan	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
SzavayIstvan	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2019-01-31
SzekelySandor	member	parliamentaryGroup.DK.8	2018-05-08	2018-12-21
SzelBernadett	member	parliamentaryGroup.LMP.7	2014-05-06	2018-05-07
SzelBernadett	deputyHead	parliamentaryGroup.LMP.7	2014-05-06	2015-10-18
SzelBernadett	deputyHead	parliamentaryGroup.LMP.7	2016-10-11	2017-02-15
SzelBernadett	head	parliamentaryGroup.LMP.7	2017-02-16	2018-05-07
SzelBernadett	member	parliamentaryGroup.LMP.8	2018-05-08	2018-10-02
SzelBernadett	head	parliamentaryGroup.LMP.8	2018-05-08	2018-09-15
SzijjartoPeter	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
SzijjartoPeter	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
SzijjartoPeter	member	parliamentaryGroup.Fidesz.9	2022-05-02	
SzilagyiGyorgy	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
SzilagyiGyorgy	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
SzilagyiGyorgy	deputyHead	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
SztojkaAttila	member	parliamentaryGroup.Fidesz.9	2022-05-02	
SzucsLajos	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
SzucsLajos	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
SzucsLajos	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
SzucsLajos	member	parliamentaryGroup.Fidesz.9	2022-05-02	
TapolczaiGergely	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
TapolczaiGergely	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
TapolczaiGergely	member	parliamentaryGroup.Fidesz.9	2022-05-02	
TasoLaszlo	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2014-07-03
TasoLaszlo	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
TasoLaszlo	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
TasoLaszlo	member	parliamentaryGroup.Fidesz.9	2022-05-02	
TelekiLaszlo	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
TesselyZoltan	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
TesselyZoltan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
TesselyZoltan	member	parliamentaryGroup.Fidesz.9	2022-05-02	
TibaIstvan	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
TibaIstvan	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2014-07-03
TibaIstvan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
TibaIstvan	member	parliamentaryGroup.Fidesz.9	2022-05-02	
TiffanZsolt	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
TilkiAttila	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
TilkiAttila	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
TilkiAttila	member	parliamentaryGroup.Fidesz.9	2022-05-02	
TobiasJozsef	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
TobiasJozsef	deputyHead	parliamentaryGroup.MSZP.7	2014-05-06	2014-09-04
TobiasJozsef	head	parliamentaryGroup.MSZP.7	2014-09-05	2016-07-05
TobiasJozsef	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
TomposMartonKristof	member	parliamentaryGroup.Momentum.9	2022-05-02	
TomposMartonKristof	deputyHead	parliamentaryGroup.Momentum.9	2022-05-02	
TordaiBence	member	parliamentaryGroup.Parbeszed.8	2018-05-08	2022-05-01
TordaiBence	deputyHead	parliamentaryGroup.Parbeszed.8	2018-05-08	2022-05-01
TordaiBence	member	parliamentaryGroup.Parbeszed.9	2022-05-02	
TordaiBence	head	parliamentaryGroup.Parbeszed.9	2022-05-02	
ToroczkaiLaszlo	member	parliamentaryGroup.MiHazank.9	2022-05-02	
ToroczkaiLaszlo	head	parliamentaryGroup.MiHazank.9	2022-05-02	
ToroGabor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
ToroGabor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
ToroGabor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
TothBertalan	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
TothBertalan	deputyHead	parliamentaryGroup.MSZP.7	2014-05-06	2016-07-05
TothBertalan	head	parliamentaryGroup.MSZP.7	2016-07-06	2018-05-07
TothBertalan	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
TothBertalan	head	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
TothBertalan	member	parliamentaryGroup.MSZP.9	2022-05-02	
TothBertalan	head	parliamentaryGroup.MSZP.9	2022-05-02	
TothCsaba	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
TothCsaba	deputyHead	parliamentaryGroup.MSZP.7	2014-09-05	2018-05-07
TothCsaba	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
TothCsaba	deputyHead	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
TothEndre	member	parliamentaryGroup.Momentum.9	2022-05-02	
TukacsIstvan	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
TuriKovacsBela	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
TuriKovacsBela	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
TuriKovacsBela	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
TuriKovacsBela	member	parliamentaryGroup.Fidesz.9	2022-05-02	
TuzsonBence	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
TuzsonBence	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
TuzsonBence	member	parliamentaryGroup.Fidesz.9	2022-05-02	
UngarPeter	member	parliamentaryGroup.LMP.8	2018-05-08	2022-05-01
UngarPeter	member	parliamentaryGroup.LMP.9	2022-05-02	
UngarPeter	head	parliamentaryGroup.LMP.9	2022-05-02	
VadaiAgnes	member	parliamentaryGroup.DK.8	2018-05-08	2022-05-01
VadaiAgnes	deputyHead	parliamentaryGroup.DK.8	2018-05-08	2022-05-01
VadaiAgnes	member	parliamentaryGroup.DK.9	2022-05-02	
VadaiAgnes	deputyHead	parliamentaryGroup.DK.9	2022-05-02	
VagoSebestyen	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
VajdaZoltan	member	parliamentaryGroup.MSZP.9	2022-05-02	
VantaraGyula	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
VargaDammAndrea	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2020-05-27
VargaFerenc	member	parliamentaryGroup.JOBBIK.9	2022-05-02	
VargaGabor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
VargaGabor	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2014-07-03
VargaGabor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
VargaGabor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
VargaJozsef	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
VargaJozsef	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2014-07-03
VargaLaszlo	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
VargaLaszlo	deputyHead	parliamentaryGroup.MSZP.7	2016-07-06	2018-05-07
VargaLaszlo	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
VargaMihaly	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
VargaMihaly	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
VargaMihaly	member	parliamentaryGroup.Fidesz.9	2022-05-02	
