parlaid	frakciótagság	frakció neve	from	to
BrennerKoloman	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
BrennerKoloman	deputyHead	parliamentaryGroup.JOBBIK.8	2018-12-10	2020-06-04
BrennerKoloman	member	parliamentaryGroup.JOBBIK.9	2022-05-02	
BrennerKoloman	deputyHead	parliamentaryGroup.JOBBIK.9	2022-05-02	
BudaiGyula	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BudaiGyula	member	parliamentaryGroup.Fidesz.8	2018-10-29	2022-05-01
BudaiGyula	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BuranySandor	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
BuranySandor	deputyHead	parliamentaryGroup.MSZP.7	2016-07-06	2018-05-07
BuranySandor	deputyHead	parliamentaryGroup.Parbeszed.8	2018-05-08	2022-05-01
BuranySandor	member	parliamentaryGroup.Parbeszed.8	2018-05-08	2022-05-01
CsanyiTamas	member	parliamentaryGroup.JOBBIK.8	2019-02-18	2022-05-01
CsanyiTamas	deputyHead	parliamentaryGroup.JOBBIK.8	2020-06-05	2022-05-01
CsardiAntal	member	parliamentaryGroup.LMP.9	2022-05-02	
CsardiAntal	deputyHead	parliamentaryGroup.LMP.8	2018-09-16	2022-05-01
CsardiAntal	member	parliamentaryGroup.LMP.8	2018-05-08	2022-05-01
CsardiAntal	deputyHead	parliamentaryGroup.LMP.9	2022-05-02	
Csenger-ZalanZsolt	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
Csenger-ZalanZsolt	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
CseresnyesPeter	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
CseresnyesPeter	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2014-07-03
CseresnyesPeter	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
CseresnyesPeter	member	parliamentaryGroup.Fidesz.9	2022-05-02	
CsiziPeter	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
CsoborKatalin	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
CsoborKatalin	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
CsoborKatalin	member	parliamentaryGroup.Fidesz.9	2022-05-02	
CzervanGyorgy	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
CzervanGyorgy	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
CzervanGyorgy	member	parliamentaryGroup.Fidesz.9	2022-05-02	
CzombaSandor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
CzunyineDrBertalanJudit	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
CzunyineDrBertalanJudit	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
CzunyineDrBertalanJudit	member	parliamentaryGroup.Fidesz.9	2022-05-02	
DankoBela	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
DankoBela	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
DankoBela	member	parliamentaryGroup.Fidesz.9	2022-05-02	
DavidFerenc	member	parliamentaryGroup.DK.9	2022-05-02	
DemeterMarta	member	parliamentaryGroup.LMP.7	2017-09-01	2018-05-07
DemeterMarta	member	parliamentaryGroup.LMP.8	2018-05-08	2022-05-01
DemeterMarta	deputyHead	parliamentaryGroup.LMP.8	2018-05-08	2021-10-17
DemeterMarta	member	parliamentaryGroup.MSZP.7	2014-05-06	2017-01-31
DemeterZoltan	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
DemeterZoltan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
DemeterZoltan	member	parliamentaryGroup.Fidesz.9	2022-05-02	
DocsDavid	member	parliamentaryGroup.MiHazank.9	2022-05-02	
DomotorCsaba	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
DomotorCsaba	member	parliamentaryGroup.Fidesz.9	2022-05-02	
DudasRobert	member	parliamentaryGroup.JOBBIK.8	2019-11-18	2022-05-01
DunaiMonika	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
DunaiMonika	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
DunaiMonika	member	parliamentaryGroup.Fidesz.9	2022-05-02	
DunaiMonika	deputyHead	parliamentaryGroup.Fidesz.9	2022-05-02	
DuroDora	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
DuroDora	deputyHead	parliamentaryGroup.JOBBIK.7	2015-10-12	2016-12-11
DuroDora	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2018-05-29
DuroDora	member	parliamentaryGroup.MiHazank.9	2022-05-02	
EgyedZsolt	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
FarkasFlorian	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
