NAME	ROLE	HU	EN	ORG	DATE	DATE
BartosMonika	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2018-05-18	2022-05-01
BartosMonika	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2022-05-02	
BartosMonika	member	Népjóléti bizottság tagja	member of the Committee on Social Welfare	org.NB	2022-06-08	
BartosMonika	member	Nemzetbiztonsági bizottság tagja		org.NVedB	2018-05-18	2018-05-11
BartosMonika	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-05-18	2020-05-05
BecsoKaroly	member	Igazságügyi bizottság tagja	member of the Committee on Justice	org.IB	2018-05-18	2022-05-01
BecsoKaroly	member	Mentelmi bizottság tagja	member of the Committee on Immunity	org.MB	2018-10-15	2022-05-01
BecsoZsolt	deputyHead	Fenntartható fejlődés bizottságának alelnöke	deputy head of the Committee on Sustainable Development	org.FFB	2014-06-06	2014-06-02
BecsoZsolt	member			org.FFB	2014-06-06	2014-06-02
BecsoZsolt	member	Fenntartható fejlődés bizottságának tagja	member of the Committee on Sustainable Development	org.FFB	2022-06-08	
BecsoZsolt	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB	2014-06-06	2018-05-07
BecsoZsolt	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB	2018-05-18	2022-05-01
BecsoZsolt	member	Vállalkozásfejlesztési bizottság tagja	member of the Committee on Business Development	org.VB	2022-05-02	
BedoDavid	member	Európai ügyek bizottsága tag	member of the Committee on European Affairs	org.EUB  	2022-05-02	
BelovicsErvin	deputyHead	legfőbb ügyész büntetőjogi helyettese		org.LU	2000-06-05	2022-07-07
BelovicsErvin	member	Legfőbb Ügyészség tagja		org.LU	2000-06-05	2022-07-07
BencsikJanos	deputyHead	Fenntartható fejlődés bizottságának alelnöke	deputy head of the Committee on Sustainable Development	org.FFB	2014-06-02	2018-05-07
BencsikJanos	deputyHead	Fenntartható fejlődés bizottságának alelnöke	deputy head of the Committee on Sustainable Development	org.FFB	2018-05-18	2022-05-01
BencsikJanos	member			org.FFB	2018-05-18	2022-05-01
BencsikJanos	member	Fenntartható fejlődés bizottságának tagja	member of the Committee on Sustainable Development	org.FFB	2014-06-02	2018-05-07
BencsikJanos	member	Fenntartható fejlődés bizottságának tagja	member of the Committee on Sustainable Development	org.FFB	2022-05-02	
BencsikJanos	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB	2014-06-06	2018-05-07
BencsikJanos	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB	2018-05-18	2018-07-02
BenczeJanos	member	Mezőgazdasági bizottság tag	member of the Committee on Agriculture	org.MezoB  	2022-05-02	
