parlaid	idő eleje	idő vége	ciklus száma (7, 8, 9)
HarangozoTamas	2018-05-08	2022-05-01	8
HarangozoTamas	2022-05-02		9
HargitaiJanos	2014-06-06	2018-05-07	7
HargitaiJanos	2018-05-08	2022-05-01	8
HargitaiJanos	2022-05-02		9
HarrachPeter	2014-06-06	2018-05-07	7
HarrachPeter	2018-05-08	2022-05-01	8
HarrachPeter	2022-05-02		9
HegedusAndrea	2022-05-02		9
HegedusLorantne	2014-06-06	2018-05-07	7
HegedusLorantne	2018-05-08	2019-03-21	8
HejjDavid	2018-05-08	2022-05-01	8
HejjDavid	2022-05-02		9
HendeCsaba	2014-06-06	2018-05-07	7
HendeCsaba	2018-05-08	2022-05-01	8
HendeCsaba	2022-05-02		9
HerczegTamas	2018-05-08	2022-05-01	8
HerczegTamas	2022-05-02		9
HerczegZsolt	2022-05-02		9
HeringesAnita	2014-06-06	2018-05-07	7
HillerIstvan	2014-06-06	2018-05-07	7
HillerIstvan	2018-05-08	2022-05-01	8
HillerIstvan	2022-05-02		9
HirtFerenc	2014-06-06	2018-05-07	7
HirtFerenc	2018-05-08	2018-12-07	8
HiszekenyDezso	2014-06-06	2018-05-07	7
HiszekenyDezso	2018-05-08	2022-05-01	8
HiszekenyDezso	2022-05-02		9
HoffmannRozsa	2014-06-06	2018-05-07	7
HohnKrisztina	2018-05-08	2022-05-01	8
HollikIstvan	2014-06-06	2018-05-07	7
HollikIstvan	2018-05-08	2022-05-01	8
HollikIstvan	2022-05-02		9
HoppalPeter	2014-06-06	2018-05-07	7
HoppalPeter	2018-05-08	2022-05-01	8
HoppalPeter	2022-05-02		9
HorcsikRichard	2014-06-06	2018-05-07	7
HorcsikRichard	2018-05-08	2022-05-01	8
HorcsikRichard	2022-05-02		9
HorvathImre	2014-06-06	2018-05-07	7
HorvathIstvan	2014-06-06	2018-05-07	7
HorvathIstvan	2018-05-08	2022-05-01	8
HorvathIstvan	2022-05-02		9
HorvathLaszlo	2014-06-06	2018-05-07	7
HorvathLaszlo	2018-05-08	2022-05-01	8
HorvathLaszlo	2022-05-02		9
HubayGyorgy	2018-05-08	2022-05-01	8
IkotityIstvan	2014-06-06	2018-05-07	7
IllesBoglarka	2022-05-02		9
JakabIstvan	2014-06-06	2018-05-07	7
JakabIstvan	2018-05-08	2022-05-01	8
JakabIstvan	2022-05-02		9
JakabPeter	2018-05-08	2022-05-01	8
JakabPeter	2022-05-02		9
JamborAndrasImre	2022-05-02		9
JozsaIstvan	2014-06-06	2018-05-07	7
JuhaszHajnalka	2018-05-08	2022-05-01	8
JuhaszHajnalka	2022-05-02		9
KallaiMaria	2018-05-08	2022-05-01	8
KallaiMaria	2022-05-02		9
KalloGergely	2020-03-09	2022-05-01	8
KalmanOlga	2022-05-02		9
KanaszNagyMate	2022-05-02		9
KaraAkos	2014-06-06	2018-05-07	7
KaraAkos	2018-05-08	2022-05-01	8
KaraAkos	2022-05-02		9
KepliLajos	2014-06-06	2018-05-07	7
KepliLajos	2018-05-08	2019-06-25	8
KerenyiJanos	2014-06-06	2018-05-07	7
KerenyiJanos	2018-05-08	2022-05-01	8
KeresztesLaszloLorant	2018-05-08	2022-05-01	8
KeresztesLaszloLorant	2022-05-02		9
KeszZoltan	2015-03-16	2018-05-07	7
KissLaszlo	2014-06-06	2018-05-07	7
KocsisCakeOlivio	2018-05-08	2022-05-01	8
KocsisMate	2018-05-08	2022-05-01	8
KocsisMate	2022-05-02		9
KomaromiZoltan	2022-05-02		9
KomjathiImre	2022-05-02		9
KonczFerenc	2018-05-08	2020-07-10	8
KonczZsofia	2020-11-02	2022-05-01	8
KonczZsofia	2022-05-02		9
KontratKaroly	2014-06-06	2018-05-07	7
KontratKaroly	2018-05-08	2022-05-01	8
KontratKaroly	2022-05-02		9
KonyaPeter	2018-05-08	2022-05-01	8
KordasLaszlo	2022-05-02		9
KorozsLajos	2014-06-06	2018-05-07	7
KorozsLajos	2018-05-08	2022-05-01	8
KosaLajos	2014-06-06	2018-05-07	7
KosaLajos	2018-05-08	2022-05-01	8
KosaLajos	2022-05-02		9
KovacsJozsef	2014-06-06	2018-05-07	7
KovacsJozsef	2018-05-08	2022-05-01	8
KovacsJozsef	2022-05-02		9
KovacsSandor	2014-06-06	2018-05-07	7
KovacsSandor	2018-05-08	2022-05-01	8
KovacsSandor	2022-05-02		9
KucsakLaszlo	2014-06-06	2018-05-07	7
KulcsarGergely	2014-06-06	2018-05-07	7
KunhalmiAgnes	2014-06-06	2018-05-07	7
KunhalmiAgnes	2018-05-08	2022-05-01	8
KunhalmiAgnes	2022-05-02		9
LangZsolt	2022-05-02		9
LaszloImre	2018-05-08	2019-10-29	8
LaszloTamas	2014-06-06	2018-05-07	7
LatorcaiJanos	2014-06-06	2018-05-07	7
LatorcaiJanos	2018-05-08	2022-05-01	8
LatorcaiJanos	2022-05-02		9
LazarJanos	2014-06-06	2018-05-07	7
LazarJanos	2018-05-08	2022-05-01	8
LazarJanos	2022-05-02		9
LegenyZsolt	2014-06-06	2018-05-07	7
LezsakSandor	2014-06-06	2018-05-07	7
LezsakSandor	2018-05-08	2022-05-01	8
LezsakSandor	2022-05-02		9
LocseiLajos	2022-05-02		9
LukacsLaszloGyorgy	2014-06-06	2018-05-07	7
LukacsLaszloGyorgy	2018-05-08	2022-05-01	8
LukacsLaszloGyorgy	2022-05-02		9
LukacsZoltan	2014-06-06	2018-05-07	7
MagyarZoltan	2014-06-06	2018-05-07	7
MagyarZoltan	2018-05-08	2022-05-01	8
ManningerJeno	2014-06-06	2018-05-07	7
ManningerJeno	2018-05-08	2022-05-01	8
MatraiMarta	2014-06-06	2018-05-07	7
MatraiMarta	2018-05-08	2022-05-01	8
MatraiMarta	2022-05-02		9
MellarTamas	2018-05-08	2022-05-01	8
MellarTamas	2022-05-02		9
MenczerTamas	2022-05-02		9
MengyiRoland	2014-06-06	2018-05-07	7
MesterhazyAttila	2014-06-06	2018-05-07	7
MesterhazyAttila	2018-05-08	2022-05-01	8
MirkoczkiAdam	2014-06-06	2018-05-07	7
MirkoczkiAdam	2018-05-08	2019-10-25	8
MolnarAgnes	2014-06-06	2018-05-07	7
MolnarAgnes	2018-05-08	2022-05-01	8
MolnarAgnes	2022-05-02		9
MolnarGyula	2018-05-08	2022-05-01	8
MolnarZsolt	2014-06-06	2018-05-07	7
MolnarZsolt	2018-05-08	2022-05-01	8
MolnarZsolt	2022-05-02		9
MoringJózsefAttila	2014-06-06	2018-05-07	7
MoringJózsefAttila	2018-05-08	2022-05-01	8
MoringJózsefAttila	2022-05-02		9
NacsaLorinc	2018-05-08	2022-05-01	8
NacsaLorinc	2022-05-02		9
NagyCsaba	2018-05-08	2022-05-01	8
NagyCsaba	2022-05-02		9
NavracsicsTibor	2014-06-06	2014-10-30	7
NavracsicsTibor	2022-05-02		9
NemethSzilard	2014-06-06	2018-05-07	7
NemethSzilard	2018-05-08	2022-05-01	8
NemethSzilard	2022-05-02		9
NemethZsolt	2014-06-06	2018-05-07	7
NemethZsolt	2018-05-08	2022-05-01	8
NemethZsolt	2022-05-02		9
NovakElod	2014-06-06	2016-08-31	7
NovakElod	2022-05-02		9
NunkovicsTibor	2019-07-08	2022-05-01	8
NyitraiZsolt	2014-06-06	2018-05-07	7
NyitraiZsolt	2018-05-08	2022-05-01	8
NyitraiZsolt	2022-05-02		9
OlahLajos	2014-06-06	2018-05-07	7
OlahLajos	2018-05-08	2022-05-01	8
OlahLajos	2022-05-02		9
OrbanBalazs	2022-05-02		9
OrbanViktor	2014-06-06	2018-05-07	7
OrbanViktor	2018-05-08	2022-05-01	8
OrbanViktor	2022-05-02		9
OroszAnna	2022-05-02		9
OvadiPeter	2018-05-08	2022-05-01	8
OvadiPeter	2022-05-02		9
PajtokGabor	2022-05-02		9
PanczelKaroly	2014-06-06	2018-05-07	7
PanczelKaroly	2018-05-08	2022-05-01	8
PanczelKaroly	2022-05-02		9
